annee_reference;competence;service_id;epci_normalise;code;valeur_num;valeur_texte;source_file;date_snapshot
2022;EP;299714;CAP_NORD;VP.241;92.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.242;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.243;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.244;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.245;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.246;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.247;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.248;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.249;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.263;15.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.264;43.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;299714;CAP_NORD;VP.268;1559845.72;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;D101.0;33788.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;D102.0;2.87;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;D151.0;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P101.1;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P102.1;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P103.2B;103.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P104.3;81.8;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P105.3;6.5;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P106.3;6.1;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P107.2;0.06;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P108.3;40.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P109.0;0.0003;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P151.1;14.89;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P152.1;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P153.2;0.4;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P154.0;9.21;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;P155.1;2.33;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.056;14158.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.177;253.93;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.190;52.4;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.178;40.75;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.191;28.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.179;50.3;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.213;2.1;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.215;0.055;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.216;0.26;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.219;0.045;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;DC.195;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.183;4130701.85;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.182;1704464.37;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.119;579.64;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.185;4611811.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.020;210.8;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.003;26.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.152;7.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.059;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.060;4860971.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.061;6914829.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.193;40.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.063;1725900.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.201;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.220;118924.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.221;120820.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
