perimeter_id;commune_insee;commune_name;coverage_type;sector_label;valid_from;valid_to
CAP_NORD_EPCI;97218;Le Morne-Rouge;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97233;Le Morne-Vert;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97219;Le Prêcheur;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97222;Le Robert;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97215;Macouba;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97225;Saint-Pierre;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97228;Sainte-Marie;FULL_COMMUNE;;2017-01-01;
EX_SICSM_DSP_2015_2027;97202;Les Anses-d'Arlet;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97206;Le Diamant;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97207;Ducos;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97210;Le François;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97217;Le Marin;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97220;Rivière-Pilote;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97221;Rivière-Salée;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97223;Saint-Esprit;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97226;Sainte-Anne;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97227;Sainte-Luce;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97231;Les Trois-Îlets;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97232;Le Vauclin;FULL_COMMUNE;;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97222;Le Robert;PARTIAL_COMMUNE;ROBERT_EXSICSM;2015-04-01;2027-03-31
EX_SICSM_DSP_2015_2027;97230;La Trinité;PARTIAL_COMMUNE;TRINITE_EXSICSM;2015-04-01;2027-03-31
CAP_NORD_DSP_2020_2024;97201;L'Ajoupa-Bouillon;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97203;Basse-Pointe;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97234;Bellefontaine;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97205;Case-Pilote;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97208;Fonds-Saint-Denis;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97211;Grand'Rivière;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97212;Gros-Morne;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97204;Le Carbet;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97214;Le Lorrain;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97216;Le Marigot;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97218;Le Morne-Rouge;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97233;Le Morne-Vert;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97219;Le Prêcheur;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97215;Macouba;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97225;Saint-Pierre;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97228;Sainte-Marie;FULL_COMMUNE;;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97222;Le Robert;PARTIAL_COMMUNE;ROBERT_CN;2020-04-01;2024-12-31
CAP_NORD_DSP_2020_2024;97230;La Trinité;PARTIAL_COMMUNE;TRINITE_CN;2020-04-01;2024-12-31
CAP_NORD_SAUR_2025_2027;97201;L'Ajoupa-Bouillon;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97203;Basse-Pointe;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97234;Bellefontaine;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97205;Case-Pilote;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97208;Fonds-Saint-Denis;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97211;Grand'Rivière;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97212;Gros-Morne;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97204;Le Carbet;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97214;Le Lorrain;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97216;Le Marigot;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97218;Le Morne-Rouge;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97233;Le Morne-Vert;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97219;Le Prêcheur;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97215;Macouba;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97225;Saint-Pierre;FULL_COMMUNE;;2025-01-01;2027-03-31
CAP_NORD_SAUR_2025_2027;97228;Sainte-Marie;FULL_COMMUNE;;2025-01-01;2027-03-31
ROBERT_TRINITE_EXSICSM;97222;Le Robert;PARTIAL_COMMUNE;ROBERT_EXSICSM;2017-01-01;2027-03-31
ROBERT_TRINITE_EXSICSM;97230;La Trinité;PARTIAL_COMMUNE;TRINITE_EXSICSM;2017-01-01;2027-03-31
ROBERT_CN;97222;Le Robert;PARTIAL_COMMUNE;ROBERT_CN;2020-04-01;2024-12-31
TRINITE_CN;97230;La Trinité;PARTIAL_COMMUNE;TRINITE_CN;2020-04-01;2024-12-31
