code_prelevement;code_commune;code_reseau;date_prelevement;bact;pc
97200105653;97234;;2023-11-09T09:15:00Z;C;C
97200105668;97227;;2023-11-08T13:10:00Z;C;C
97200105677;97213;;2023-11-08T11:45:00Z;C;C
97200105679;97209;;2023-11-08T11:07:00Z;C;C
97200106863;97206;;2023-11-07T12:15:00Z;C;C
97200105672;97226;;2023-11-07T10:50:00Z;C;C
97200105714;97226;;2023-11-07T10:00:00Z;C;C
97200105697;97217;;2023-11-07T09:35:00Z;C;C
97200105708;97217;;2023-11-07T09:13:00Z;C;C
97200106859;97228;;2023-11-06T12:00:00Z;C;C
97200105707;97211;;2023-11-06T12:00:00Z;C;C
97200105661;97209;;2023-11-06T12:00:00Z;C;C
97200105658;97209;;2023-11-06T11:10:00Z;C;C
97200107082;97222;;2023-11-06T10:40:00Z;C;C
97200106862;97230;;2023-11-06T10:37:00Z;C;C
97200107081;97209;;2023-11-06T10:15:00Z;C;C
97200106860;97212;;2023-11-06T10:08:00Z;C;C
97200107080;97230;;2023-11-06T10:00:00Z;C;C
97200106861;97222;;2023-11-06T09:35:00Z;C;C
97200105861;97224;;2023-11-06T08:18:00Z;C;C
97200105678;97224;;2023-10-30T13:10:00Z;C;C
97200105669;97224;;2023-10-30T12:40:00Z;C;C
97200106304;97224;;2023-10-30T12:00:00Z;C;C
97200105718;97212;;2023-10-30T11:30:00Z;C;C
97200105711;97233;;2023-10-30T11:30:00Z;C;C
97200105722;97222;;2023-10-30T11:10:00Z;C;C
97200105702;97212;;2023-10-30T10:55:00Z;;C
97200105723;97209;;2023-10-30T10:53:00Z;C;C
97200105703;97234;;2023-10-30T10:05:00Z;C;C
97200105674;97213;;2023-10-30T09:45:00Z;C;C
97200105681;97209;;2023-10-30T09:30:00Z;C;C
97200105664;97204;;2023-10-30T08:56:00Z;C;C
97200105680;97229;;2023-10-30T08:03:00Z;C;C
97200105695;97229;;2023-10-30T07:45:00Z;C;C
97200105675;97214;;2023-10-26T13:00:00Z;C;C
97200105706;97209;;2023-10-26T10:20:00Z;C;C
97200105705;97209;;2023-10-26T10:10:00Z;C;C
97200105665;97232;;2023-10-25T12:30:00Z;C;C
97200105667;97220;;2023-10-25T11:50:00Z;C;C
97200105700;97226;;2023-10-25T10:40:00Z;C;C
97200105663;97233;;2023-10-24T12:10:00Z;N;C
97200105655;97212;;2023-10-24T11:15:00Z;;C
97200105657;97234;;2023-10-24T11:00:00Z;N;C
97200105654;97234;;2023-10-24T10:45:00Z;N;C
97200105659;97230;;2023-10-24T10:15:00Z;C;C
97200105721;97212;;2023-10-24T10:05:00Z;C;C
97200106299;97224;;2023-10-24T09:20:00Z;C;C
97200105670;97201;;2023-10-23T11:42:00Z;C;C
97200105660;97209;;2023-10-23T11:35:00Z;N;C
97200105656;97207;;2023-10-23T11:35:00Z;C;C
97200105662;97209;;2023-10-23T11:20:00Z;N;C
97200105671;97203;;2023-10-23T11:15:00Z;C;C
97200106296;97209;;2023-10-23T10:50:00Z;C;C
97200107079;97222;;2023-10-23T08:43:00Z;C;N
97200107078;97213;;2023-10-19T13:40:00Z;C;C
97200106333;97222;;2023-10-19T12:50:00Z;N;C
97200106301;97213;;2023-10-19T11:20:00Z;C;C
97200106302;97222;;2023-10-19T10:40:00Z;C;C
97200106300;97213;;2023-10-19T10:00:00Z;C;C
97200106306;97229;;2023-10-18T11:48:00Z;C;C
97200106305;97209;;2023-10-18T10:55:00Z;C;C
97200106336;97209;;2023-10-18T10:40:00Z;C;C
97200106303;97231;;2023-10-18T10:00:00Z;C;C
97200106337;97209;;2023-10-18T10:00:00Z;C;C
97200106293;97209;;2023-10-18T09:10:00Z;C;C
97200106327;97207;;2023-10-17T13:10:00Z;N;C
97200106330;97224;;2023-10-17T09:45:00Z;C;C
97200106584;97201;;2023-10-16T11:45:00Z;C;C
97200106342;97201;;2023-10-16T11:00:00Z;C;C
97200106326;97201;;2023-10-16T10:40:00Z;C;C
97200106332;97225;;2023-10-16T10:05:00Z;C;C
97200106323;97218;;2023-10-16T09:30:00Z;C;C
97200106325;97222;;2023-10-12T12:10:00Z;C;C
97200106324;97222;;2023-10-12T10:25:00Z;C;C
97200106355;97209;;2023-10-11T09:30:00Z;C;C
