annee_reference;domain;indicator_id;territoire;perimeter_id;value;unit;source_family;authority;source_file;source_page;record_role;quality_status;coverage_status;definition;note
2023;EAU_POTABLE;P102.1_LOCAL;CAESM;CAESM_EPCI;100.0;%;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_VOLUME_FACTURE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;1898167.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;16;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;EAU_POTABLE;EP_RESEAU_KM;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;284.3;km;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;16;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;ASSAINISSEMENT_COLLECTIF;AC_STEU_NB;CAESM;CAESM_EPCI;32.0;stations;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;7;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_POSTES_REFOULEMENT;CAESM;CAESM_EPCI;123.0;ouvrages;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;7;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_TRAITE;CAESM;CAESM_EPCI;3254971.0;m³/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;7;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;CAESM;CAESM_EPCI;322.2;tMS/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;7;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;CAESM;CAESM_EPCI;305.1;km;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;7;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;CAESM;CAESM_EPCI;24046.0;abonnés;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;7;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_STEU_NB;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;8.0;stations;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;8;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
