year_reference;code_agglo;nom_agglo;commune_principale;code_insee_commune_principale;etat_agglo;taille_agglo_eh;tranche_obligation;maximum_pollutions_entrantes_eh;somme_capacites_nominales_eh;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_temps_sec;conformite_globale_agglo;date_mise_a_jour_agglo;type_reseau_majoritaire;source_file
2022;080000797218;LEMORNE-ROUGECAT SAVANE PETIT;Le Morne-Rouge;97218;En activité;0.0;Taille ≤ 200 EH;0.0;100.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197218;Le Morne-RougeCHAZEAU;Le Morne-Rouge;97218;En activité;1316.0;"[ 2 000 ; 10 000 [ EH";1316.0;1000.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000897218;Le Morne-Rouge HAUT BOURG;Le Morne-Rouge;97218;En activité;0.0;Taille ≤ 200 EH;0.0;120.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000497218;Le Morne-RougePARNASSE;Le Morne-Rouge;97218;En activité;6.0;"] 200 ; 2 000 [ EH";6.0;100.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197219;Le Prêcheur - ANSE BELLEVILLE;Le Prêcheur;97219;En activité;68.0;"] 200 ; 2 000 [ EH";68.0;150.0;Oui;N/A;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000297219;Le Prêcheur - LA PERLE;Le Prêcheur;97219;En activité;741.0;"] 200 ; 2 000 [ EH";741.0;400.0;Oui;Non;N/A;Non;2024-12-17;Unitaire;export-as-telechargement(2).csv
2022;080000197222;Le Robert - COURBARIL;Le Robert;97222;En activité;8106.0;"[ 10 000 ; 100 000 [ E";8106.0;2000.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000497222;Le Robert- FOUR A CHAUX;Le Robert;97222;En activité;567.0;"] 200 ; 2 000 [ EH";567.0;2000.0;Non;Oui;N/A;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000697222;Le Robert- MANSARDE CATALOGNE;Le Robert;97222;En activité;400.0;"] 200 ; 2 000 [ EH";400.0;400.0;Oui;Non;N/A;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000597222;Le Robert - RESIDENCE HELIA;Le Robert;97222;En activité;0.0;Taille ≤ 200 EH;0.0;50.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197214;LORRAIN;Le Lorrain;97214;En activité;1500.0;"[ 2 000 ; 10 000 [ EH";1500.0;1800.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000297214;LORRAIN-RÉSIDENCE CANNE À SUCRE;Le Lorrain;97214;En activité;551.0;"] 200 ; 2 000 [ EH";551.0;400.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000397214;LORRAIN-RESIDENCE MACEDOINE;Le Lorrain;97214;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;300.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197215;MACOUBA-CASE-PAUL;Macouba;97215;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Oui;Non;N/A;Non;2024-12-06;Unitaire;export-as-telechargement(2).csv
2022;080000297215;Macouba - GUERIN;Macouba;97215;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;200.0;Oui;Oui;N/A;Oui;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000597218;MORNE-ROUGE-ADAPEI CHAMPFLORE;Le Morne-Rouge;97218;En activité;7.0;"] 200 ; 2 000 [ EH";7.0;200.0;Oui;Non;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000297218;MORNE-ROUGE-FOND ROSE;Le Morne-Rouge;97218;En activité;171.0;"] 200 ; 2 000 [ EH";171.0;175.0;Oui;Oui;N/A;Oui;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000397218;MORNE-ROUGE-GALETTE;Le Morne-Rouge;97218;En activité;363.0;"] 200 ; 2 000 [ EH";363.0;250.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
