year_reference;code_steu;code_agglo;nom_agglo;nature_steu;epci_normalise;etat_steu;capacite_nominale_eh;capacite_nominale_kg_dbo5;percentile95_m3_j;charge_max_entree_eh;debit_entrant_m3_j;filiere_eau_principale;filiere_boues_principale;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_agglo;conformite_globale_agglo;conformite_equipement_steu;conformite_performance_steu;conformite_station_reconstituee;cause_non_conformite;production_boues_tms;code_systeme_collecte;nom_systeme_collecte;code_masse_eau;nom_masse_eau;nom_milieu_rejet;type_milieu_rejet;latitude_rejet_wgs84;longitude_rejet_wgs84;date_derniere_modification_source;date_mise_a_jour_agglo;source_file
2022;080007897209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;50.0;3.0;0.0;50.0;0.0;Boue activée moyenne charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.75;S080007897209;Systeme de collecte - FORT-DE-FRANCE-Crossma;FRJC015;Nord Baie de Fort-de-France;REJET PRINCIPAL DE FORT-DE-FRANCE-Crossma;Eau douce de surface;14.5998654;-61.0842428;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080000197209;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;25000.0;1500.0;4341.0;17160.0;3530.0;Boue activée aération prolongée (très faible charge);Centrifugation;Non;Non;Oui;Non;Oui;Oui;True;;133.87;080000197209;SC du STEU : DILLON 1;FRJC015;Nord Baie de Fort-de-France;Rejet DILLON 1;Eau côtière;14.5984976;-61.0522017;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000297209;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;60000.0;3600.0;10130.0;57423.0;7619.0;Boue activée aération prolongée (très faible charge);Centrifugation;Non;Non;Oui;Non;Oui;Oui;True;;171.74;080000297209;SC du STEU : DILLON 2;FRJC015;Nord Baie de Fort-de-France;Rejet DILLON 2;Eau côtière;14.5984976;-61.0522017;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000497209;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;13000.0;780.0;1709.0;8125.0;1210.0;Boue activée aération prolongée (très faible charge);Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Oui;True;;53.58;080000497209;SC du STEU : GODISSARD;FRJR116;Madame;Rejet GODISSARD;Eau douce de surface;14.6308562;-61.0692354;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080006197209;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;300.0;18.0;0.0;300.0;0.0;Boue activée faible charge;Lits de séchage;Non;Non;Oui;Non;Non;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.0;S080002397224;Systeme de collecte - FORT-DE-FRANCE;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE;Eau douce de surface;14.6552436;-61.0852103;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000497213;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;1200.0;72.0;0.0;250.0;0.0;Boue activée aération prolongée (très faible charge);Lits de séchage;Non;Non;Oui;Non;Oui;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.0;080000497213;SC du STEU : LONG PRE;FRJC015;Nord Baie de Fort-de-France;Rejet LONG PRE;Eau douce de surface;14.6280635;-61.0091;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080002897209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;500.0;30.0;0.0;450.0;0.0;Boue activée faible charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Non;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);6.75;S080002897209;SYSTEME DE COLLECTE - Lot Les Everglades;FRJR115;Monsieur;REJET PRINCIPAL DE Lot Les Everglades;Eau douce de surface;14.6411013;-61.0450783;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080008397209;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;150.0;9.0;0.0;13.0;22.0;Boue activée faible charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.11;S080008397209;Systeme de collecte - FORT-DE-FRANCE;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE;Eau douce de surface;14.6207869;-61.0755416;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080000597209;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;500.0;30.0;0.0;1250.0;0.0;Boue activée faible charge;Lits de séchage;Non;Non;Oui;Non;Oui;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.0;S080000597209;SYSTEME DE COLLECTE - FORT-DE-FRANCE;FRJC015;Nord Baie de Fort-de-France;REJET PRINCIPAL DE FORT-DE-FRANCE;Eau douce de surface;14.624491;-61.0590726;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080003597209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;CACEM;En service;600.0;36.0;0.0;157.0;0.0;Boue activée forte charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);2.36;S080003597209;SYSTEME DE COLLECTE - Plateau Tiberge;FRJR116;Madame;REJET PRINCIPAL DE Plateau Tiberge;Eau douce de surface;14.6397823;-61.0580842;2024-12-05;2024-12-06;export-as-telechargement(2).csv
