Année,Code Sandre de l'ouvrage ,Nom de l'ouvrage,Commentaire,Code alternatif de l'ouvrage,Origine du code alternatif,Département,Code INSEE,Commune,Code INSEE déclaré,Lieu dit,Début,Fin,Volume (m3),Code usage BNPE,Libellé usage BNPE,Code de l'usage déclaré,Usage déclaré,Type d'eau,Longitude,Latitude,Précision de la localisation,Mode d'obtention du volume,Code du statut du volume d'eau,Libellé du statut du volume d'eau,Code de qualification du volume d'eau,Libellé de qualification du volume d'eau,Date de début d'exploitation d'un ouvrage de prélèvement,Date de fin d'exploitation d'un ouvrage de prélèvement,Nature du point de prélèvement,Code BSS,Code de la zone hydrographique,Nom de la zone hydrographique,Code entité hydrographique cours d'eau,Code entité hydrographique plan d'eau,Plan d'eau non référencé,Information complémentaire de la ressource en eau,Code BDRHFV1,Libellé entité hydrologique BDRHFV1,Code BDLISA,Libellé entité hydrologique BDLISA,Code de la mer,Libellé de la mer
2023,OPR0000276814,Lafort SOMES,,ODP-0115,OEMAR,972,97218,MORNE-ROUGE,97218,,31/12/2022,30/12/2023,49221,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",8,EMBOUTEILLAGE,SOUT,-67.48929144601344,1.3308409063005628E-4,1,EST,0,Non qualifié,1,Correcte,31/12/1899,,F,,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276777,Rivière Lézarde - SARL SOUDON Hangar,,ODP-0033,OEMAR,972,97213,LAMENTIN,97213,,31/12/2022,30/12/2023,44531,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.4892902897275,1.3213727356108557E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,P,,2521,,25411480,,non,,,,,,,
2023,OPR0000276769,Rivière Lézarde SARl PETIT MORNE  P2,,ODP-0247,OEMAR,972,97213,LAMENTIN,97213,,31/12/2022,30/12/2023,41558,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929020767206,1.318465793127955E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2541,,25411480,,non,,,,,,,
2023,OPR0000639978,Rivière Basse Pointe (prise haute  pompage),,ODP-0397,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,40000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929149229305,1.3391769678162366E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2105,,21050440,,non,,,,,,,
2023,OPR0000639979,Rivière Roche (prise basse),,ODP-0399,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,40000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929160481798,1.3404811683649263E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2104,,21040210,,non,,,,,,,
2023,OPR0000639981,Rivière Basse Pointe (canal Gradis),,ODP-0401,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,40000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929144077887,1.34018533336521E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2105,,21050440,,non,,,,,,,
2023,OPR0000639980,Rivière Macouba (gravitaire),,ODP-0400,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,40000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929174601165,1.339618014491218E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2103,,21030480,,non,,,,,,,
2023,OPR0000276811,Source Didier SEMDD,,ODP-0112,OEMAR,972,97209,FORT-DE-FRANCE,97209,,31/12/2022,30/12/2023,39420,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",8,EMBOUTEILLAGE,SOUT,-67.48929121553162,1.3223890472452028E-4,1,EST,0,Non qualifié,1,Correcte,31/12/1899,,F,,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276782,Rivière Lézarde - UNION SARL,,ODP-A035,OEMAR,972,97213,LAMENTIN,97213,,31/12/2022,30/12/2023,38761,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929029907173,1.321061747750336E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2521,,25211480,,non,,,,,,,
2023,OPR0000276812,Source Mabelo SEMDD,,ODP-0113,OEMAR,972,97209,FORT-DE-FRANCE,97209,,31/12/2022,30/12/2023,34155,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",8,EMBOUTEILLAGE,SOUT,-67.48929121553162,1.3223890472452028E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,F,,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
