annee_reference;code_ouvrage;nom_ouvrage;departement;code_insee;commune;volume_m3;code_usage_bnpe;libelle_usage_bnpe;code_usage_declare;usage_declare;type_eau;longitude;latitude;precision_localisation;mode_obtention_volume;statut_volume;qualification_volume;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_entite_hydro_plan_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation;source_file
2023;OPR0000276743;Rivière Basse Pointe (canal Gradis);972;97203;BASSE-POINTE;95805;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929144077887;0.000134018533336521;1;EST;Contrôlé Niveau 1;Correcte;;2105;;21050440;;;;;;prelevements.csv
2023;OPR0000276797;Rivière Sainte Marie;972;97228;SAINTE-MARIE;94032;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4A;Agro-alimentaire;CONT;-67.48929035650804;0.0001333321505359738;1;MES;Non qualifié;Correcte;;2213;;22131360;;;;;;prelevements.csv
2023;OPR0000276803;Rivière pilote;972;97220;RIVIERE-PILOTE;82502;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4A;Agro-alimentaire;CONT;-67.48928955077186;0.00013085083207311541;1;MES;Non qualifié;Correcte;;2812;;28120420;;;;;;prelevements.csv
2023;OPR0000639977;Rivière  Poquet Prise haute Leyritz;972;97203;BASSE-POINTE;80000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929129208652;0.00013402325951336836;1;EST;Contrôlé Niveau 1;Correcte;;2106;;21060400;;;;;;prelevements.csv
2023;OPR0000639982;Rivière Roche (gravitaire);972;97203;BASSE-POINTE;80000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929154871679;0.00013411938790066667;1;EST;Contrôlé Niveau 1;Correcte;;2104;;21040210;;;;;;prelevements.csv
2023;OPR0000493700;Source du Mont Vert -  ASA MONT VERT;972;97222;ROBERT;77540;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.4892900128052;0.00013251734982182542;1;MES;Contrôlé Niveau 1;Correcte;;2226;;22260280;;;;;;prelevements.csv
2023;OPR0000567238;Rivière Saint Pierre - Habitation PERINELLE;972;97225;SAINT-PIERRE;75807;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929196760315;0.00013311545088026767;1;EST;Contrôlé Niveau 1;Correcte;;2001;;20010280;;;;;;prelevements.csv
2023;OPR0000276715;Demare;972;97203;BASSE-POINTE;71726;AEP;EAU POTABLE;5;AEP;SOUT;-61.11736704916713;14.840926344506983;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0048;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000276773;Rivière Trinité - BANANDES DU GALION;972;97230;TRINITE;68627;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48928996023388;0.0001327068738325452;1;MES;Contrôlé Niveau 1;Correcte;;2225;;22251790;;;;;;prelevements.csv
2023;OPR0000493705;Rivière Blanche - CHARMINE BANANIERE;972;97224;SAINT-JOSEPH;57683;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929053307162;0.00013235899666504065;1;MES;Contrôlé Niveau 1;Correcte;;2514;;25141080;;;;;;prelevements.csv
2023;OPR0000276722;Fonds Les Sources;972;97201;AJOUPA-BOUILLON;55457;AEP;EAU POTABLE;5;AEP;SOUT;-61.118605348598635;14.815980150865826;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0046;;;;;972AF01;Formations des andésites;;;prelevements.csv
