code_ouvrage;nom_ouvrage;code_alternatif;origine_code_alternatif;departement;code_insee;commune;lieu_dit;type_eau;longitude;latitude;precision_localisation;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation
OPR0000276737;Morestin;ODP-0256;OEMAR;972;97218;MORNE-ROUGE;;SOUT;-61.12185325461485;14.769544323206384;5;1168ZZ0053;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276727;Piton Gelé;ODP-0274;OEMAR;972;97218;MORNE-ROUGE;;SOUT;-61.12185325461485;14.769544323206384;5;1173ZZ0065;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276766;Rivière Calave - Jardin château Gaillard;ODP-0116;OEMAR;972;97218;MORNE-ROUGE;;CONT;-67.4892916093869;0.00013313941540947123;1;;2327;;23270130;;;;
OPR0000276736;Attila;ODP-0259;OEMAR;972;97233;MORNE-VERT;;SOUT;-61.13602598165926;14.704653003726108;5;1173ZZ0068;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276734;Urion;ODP-0276;OEMAR;972;97233;MORNE-VERT;;CONT;-61.13602598165926;14.704653003726108;5;;2316;;23160850;;;;
OPR0000276735;Verrier;ODP-0257;OEMAR;972;97233;MORNE-VERT;;CONT;-61.13602598165926;14.704653003726108;5;;2316;;23160750;;;;
OPR0000276802;Rivière pilote;ODP-0228;OEMAR;972;97220;RIVIERE-PILOTE;;CONT;-67.48928955077186;0.00013085083207311541;1;;2812;;28120420;;;;
OPR0000276803;Rivière pilote;ODP-0229;OEMAR;972;97220;RIVIERE-PILOTE;;CONT;-67.48928955077186;0.00013085083207311541;1;;2812;;28120420;;;;
OPR0000276804;Rivière pilote;ODP-0230;OEMAR;972;97220;RIVIERE-PILOTE;;CONT;-67.48928955077186;0.00013085083207311541;1;;2812;;28120420;;;;
OPR0000493700;Source du Mont Vert -  ASA MONT VERT;ODP-0088;OEMAR;972;97222;ROBERT;;CONT;-67.4892900128052;0.00013251734982182542;1;;2226;;22260280;;;;
OPR0000639975;Source du Mont Vert -  ASA MONT VERT;ODP-0394;OEMAR;972;97222;ROBERT;;CONT;-67.4892900128052;0.00013251734982182542;1;;2226;;22260280;;;;
OPR0000276820;Source du Mont Vert -  ASA MONT VERT Hangar;ODP-B088;OEMAR;972;97222;ROBERT;;CONT;-67.4892900128052;0.00013251734982182542;1;;2226;;22260280;;;;
OPR0000276733;Blanche;ODP-0251;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-61.04498912469492;14.68352270145589;5;;2512;;25121080;;;;
OPR0000276729;Blanche Bouliki;ODP-0260;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-61.04498912469492;14.68352270145589;5;;2512;;25121080;;;;
OPR0000612760;Forage Bouliki;ODP-0372;OEMAR;972;97224;SAINT-JOSEPH;;SOUT;-61.04498912469492;14.68352270145589;5;BSS003IUOK;;;;;;;
OPR0000276822;Rivière Blanche - CHARMINE BANANIERE;ODP-B103;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929053307162;0.00013235899666504065;1;;2514;;25141080;;;;
OPR0000493705;Rivière Blanche - CHARMINE BANANIERE;ODP-0103;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929053307162;0.00013235899666504065;1;;2514;;25141080;;;;
OPR0000493763;Rivière Blanche - SIBAN GT - 41;ODP-0354;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929052525939;0.00013235337759957534;1;;2514;;25141080;;;;
OPR0000493764;Rivière Blanche - SIBAN Station GT;ODP-0356;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929052525939;0.00013235337759957534;1;;2514;;25141080;;;;
OPR0000493792;Rivière Blanche - SIBAN Station STA - 48;ODP-0355;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929057041268;0.00013227536004941794;1;;2401;;24010520;;;;
OPR0000646024;Rivière Blanche - SIBAN Station STA - 48;ODP-B355;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929057041268;0.00013227536004941794;1;;2401;;24010520;;;;
OPR0000276789;Rivière Lézarde - SARL LITTLE;ODP-0233;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929039233485;0.00013232558894792881;1;;2514;;25141080;;;;
OPR0000276790;Rivière Lézarde - SARL LITTLE Hangar;ODP-B233;OEMAR;972;97224;SAINT-JOSEPH;;CONT;-67.48929035530733;0.00013231690330233194;1;;2521;;25211480;;;;
OPR0000276808;Captage;ODP-0175;OEMAR;972;97225;SAINT-PIERRE;;SOUT;-67.4892921660269;0.0001333398437248645;1;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276805;Captage sur rivière Roxelane;ODP-0102;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929182266461;0.0001331508699689155;1;;2328;;23280480;;;;
OPR0000276721;Essente;ODP-0273;OEMAR;972;97225;SAINT-PIERRE;;SOUT;-61.17749932058234;14.771613979598781;5;1168ZZ0050;;;;972AF01;Formations des andésites;;
OPR0000276732;Pécoul FR1 bis;ODP-0255;OEMAR;972;97225;SAINT-PIERRE;;SOUT;-61.17749932058234;14.771613979598781;5;1167ZZ0042;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276731;Pécoul FR8;ODP-0254;OEMAR;972;97225;SAINT-PIERRE;;SOUT;-61.17749932058234;14.771613979598781;5;1167ZZ0066/FR8;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276806;Rivière  Saint-Pierre;ODP-0105;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929212568453;0.0001331731026578068;1;;2004;;20040430;;;;
OPR0000276798;Rivière LA DIGUE;ODP-A097;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929195844705;0.00013311940136556674;1;;2001;;20010300;;;;
OPR0000276799;Rivière LA DIGUE;ODP-B097;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929195844705;0.00013311940136556674;1;;2001;;20010300;;;;
OPR0000276800;Rivière LA DIGUE;ODP-C097;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929195844705;0.00013311940136556674;1;;2001;;20010300;;;;
OPR0000276765;Rivière Saint Pierre - Habitation PERINELLE;ODP-0023;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929196760315;0.00013311545088026767;1;;2001;;20010280;;;;
OPR0000567238;Rivière Saint Pierre - Habitation PERINELLE;ODP-B023;OEMAR;972;97225;SAINT-PIERRE;;CONT;-67.48929196760315;0.00013311545088026767;1;;2001;;20010280;;;;
OPR0000276753;Parcelle 3 Mornes;ODP-A096;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.48929038907394;0.00013318860727219733;1;;2212;;22121360;;;;
OPR0000276756;Parcelle Abricot 2;ODP-B011;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.4892904774812;0.00013297818537698683;1;;2221;;22211740;;;;
OPR0000276754;Parcelle CAFE 8;ODP-B096;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.48929038907394;0.00013318860727219733;1;;2212;;22121360;;;;
OPR0000276755;Parcelle Savane;ODP-A011;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.4892904774812;0.00013297818537698683;1;;2221;;22211740;;;;
OPR0000276797;Rivière Sainte Marie;ODP-0094;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.48929035650804;0.0001333321505359738;1;;2213;;22131360;;;;
OPR0000604674;Rivière de Sainte Marie - 3 Mornes;ODP-0361;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.48929047755287;0.00013297556344640292;1;;;;;;;;
OPR0000604675;Rivière de Sainte Marie - 3 Pointes;ODP-0362;OEMAR;972;97228;SAINTE-MARIE;;CONT;-67.48929061753711;0.00013304444163601522;1;;;;;;;;
OPR0000612759;Forage Schoelcher;ODP-0371;OEMAR;972;97229;SCHLCHER;;SOUT;-61.098797234810434;14.651844349564383;5;1177ZZ0178;;;;;;;
OPR0000276801;Canal Rivière du Galion;ODP-0098;OEMAR;972;97230;TRINITE;;CONT;-67.48929000240707;0.0001327788177237035;1;;2225;;22251012;;;;
OPR0000276807;Canal Rivière du Galion;ODP-0106;OEMAR;972;97230;TRINITE;;CONT;-67.48929000240707;0.0001327788177237035;1;;2225;;22251012;;;;
OPR0000276773;Rivière Trinité - BANANDES DU GALION;ODP-A029;OEMAR;972;97230;TRINITE;;CONT;-67.48928996023388;0.0001327068738325452;1;;2225;;22251790;;;;
OPR0000276815;Rivière Trinité - BANANDES DU GALION Hangar;ODP-B029;OEMAR;972;97230;TRINITE;;CONT;-67.48928996155084;0.00013270570131433218;1;;2225;;22251790;;;;
OPR0000276783;Rivière Trinité - EARL HORTICOLE;ODP-0046;OEMAR;972;97230;TRINITE;;CONT;-67.48929037976549;0.00013296985149794874;1;;2221;;22211790;;;;
OPR0000276774;Rivière du Galion - Banane du Malgre tout;ODP-0030;OEMAR;972;97230;TRINITE;;CONT;-67.48929006618289;0.00013271169015620086;1;;2223;;22231010;;;;
OPR0000276775;Rivière du Galion - Banane du Malgre tout Hangar;ODP-0231;OEMAR;972;97230;TRINITE;;CONT;-67.48929011818981;0.0001326703543784929;1;;2224;;22240330;;;;
