annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;source_primary;source_detail;source_file;source_page;coverage_status;quality_status;record_role;population_millesime;definition;note
2024;EP_ABONNES;EAU_POTABLE;CAP_NORD;CAP_NORD_EPCI;51746;abonnés;RAD_RPQS;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=1022913;6;COMPLETE;OK;PRODUCTION;;Total EPCI = contrat CAP Nord + secteurs Robert-Trinité Ex-SICSM.;37332 + 14414 = 51746.
2024;EP_ABONNES;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;37332;abonnés;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;151;COMPLETE;OK;PRODUCTION;;Abonnés du contrat CAP Nord incluant les secteurs Robert CN et Trinité CN.;La valeur détaillée contredit le chiffre-clé 38 457 : le détail et le RPQS officiel convergent vers 37 332.
2024;EP_ABONNES;EAU_POTABLE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;14414;abonnés;RAD_RPQS;RAD;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;79;COMPLETE;OK;PRODUCTION;;Abonnés des secteurs Robert-Trinité relevant du contrat Ex-SICSM.;
2024;EP_RESEAU_KM;EAU_POTABLE;CAESM;CAESM_EPCI;1376.72;km;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;
2024;EP_RESEAU_KM;EAU_POTABLE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;277.63;km;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;23;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;EP_VOLUME_COMPTABILISE;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;4008632;m³/an;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;47;COMPLETE;OK;PRODUCTION;;Volume comptabilisé E = facturé + dégrevé/gratuit.;
2024;EP_VOLUME_FACTURE;EAU_POTABLE;CAESM;CAESM_EPCI;7564328.0;m³/an;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;
2024;EP_VOLUME_FACTURE;EAU_POTABLE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;1854351.0;m³/an;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;23;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;EP_VOLUME_FACTURE_CLIENTELE;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3641736;m³/an;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;152;COMPLETE;OK;PRODUCTION;;Somme des volumes facturés du tableau clientèle du RAD.;À distinguer du volume comptabilisé hydraulique 4 008 632 m3.
2024;EP_VOLUME_FACTURE_HYDRAULIQUE;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3641739;m³/an;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;46;COMPLETE;OK;PRODUCTION;;Volume facturé E' utilisé dans le bilan hydraulique/rendement.;
2024;EP_VOLUME_MIS_DISTRIBUTION;EAU_POTABLE;EX_SICSM;EX_SICSM_DSP_2015_2027;13857686.0;m³/an;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;Périmètre Ex-SICSM.
2024;EP_VOLUME_PRODUIT;EAU_POTABLE;EX_SICSM;EX_SICSM_DSP_2015_2027;14481766.0;m³/an;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;Production commune au périmètre Ex-SICSM, non ventilée entre CAESM et Robert-Trinité.
2024;EP_VOLUME_VENDU_RPQS;EAU_POTABLE;CAP_NORD;CAP_NORD_EPCI;5863096;m³/an;RAD_RPQS;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=1022913;11;COMPLETE;DEFINITION_REVIEW_REQUIRED;DIAGNOSTIC;;Total vendu aux abonnés de l'EPCI.;Le composant 16 communes correspond au volume comptabilisé hydraulique, donc ne pas assimiler à « volume facturé » sans validation.
2024;EP_VOLUME_VENDU_RPQS;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;4008632;m³/an;RAD_RPQS;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=1022913;11;COMPLETE;DEFINITION_MISMATCH;DIAGNOSTIC;;Volumes vendus aux abonnés « 16 communes » au RPQS.;Correspond exactement au volume comptabilisé hydraulique, pas au volume facturé clientèle 3 641 736 m3.
2024;EP_VOLUME_VENDU_RPQS;EAU_POTABLE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;1854464;m³/an;RAD_RPQS;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=1022913;11;COMPLETE;OK;PRODUCTION;;Volumes vendus aux abonnés Robert-Trinité contrat ex-SICSM.;RAD chiffre-clé : 1 854 351 m3, écart 113 m3.
2024;P101.1_LOCAL;EAU_POTABLE;CAESM;CAESM_EPCI;100.0;%;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;
2024;P102.1_LOCAL;EAU_POTABLE;CAESM;CAESM_EPCI;100.0;%;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;
2024;P104.3;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;54.95;%;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;48;COMPLETE;OK;PRODUCTION;;Rendement du réseau du contrat CAP Nord.;
2024;P104.3_CONTRACT;EAU_POTABLE;EX_SICSM;EX_SICSM_DSP_2015_2027;80.4;%;RAD_RPQS;RAD;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;128;COMPLETE;OK;PRODUCTION;;P104.3 calculé pour le périmètre entier Ex-SICSM.;
